"","X2017.12","X2018.12","X2019.12","X2020.03","X2020.06","X2020.09"
"매출액",14658,14879,16985,3262,3352,2812
"매출원가",12724,13222,15609,2905,2799,2612
"매출총이익",1934,1657,1376,356,553,200
"판매비와관리비",481,527,606,154,165,157
"인건비",317,342,366,104,91,94
"유무형자산상각비",11,9,37,10,10,9
"연구개발비",NA,NA,NA,1,2,NA
"광고선전비",NA,NA,NA,0,1,0
"판매비",35,26,15,1,8,19
"관리비",69,95,117,36,46,33
"기타원가성비용",NA,NA,NA,NA,NA,NA
"기타",50,55,70,1,8,0
"영업이익",1453,1130,770,203,388,44
"영업이익(발표기준)",1453,1130,770,203,388,44
"금융수익",31,37,80,31,25,26
"이자수익",25,25,53,16,13,12
"배당금수익",3,2,1,NA,2,NA
"외환이익",NA,NA,NA,NA,NA,NA
"대손충당금환입액",NA,NA,NA,NA,NA,NA
"매출채권처분이익",NA,NA,NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련이익",NA,NA,NA,NA,NA,NA
"금융자산처분이익",NA,NA,NA,NA,NA,NA
"금융자산평가이익",NA,5,7,5,0,1
"금융자산손상차손환입",NA,NA,NA,NA,NA,NA
"파생상품이익",NA,NA,NA,NA,NA,NA
"기타금융수익",3,5,18,11,9,14
"금융원가",312,310,360,74,69,11
"이자비용",312,310,359,74,69,11
"외환손실",NA,NA,NA,NA,NA,NA
"대손상각비",NA,NA,NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련손실",NA,NA,NA,NA,NA,NA
"매출채권처분손실",NA,NA,NA,NA,NA,NA
"금융자산처분손실",NA,NA,NA,NA,NA,NA
"금융자산평가손실",NA,NA,NA,1,-1,0
"금융자산손상차손",NA,NA,NA,NA,NA,NA
"파생상품손실",NA,NA,0,NA,NA,NA
"기타금융원가",NA,NA,NA,NA,NA,NA
"기타수익",56,59,135,29,10,6
"재고자산감모손실환입",NA,NA,NA,NA,NA,NA
"재고자산폐기(처분)이익",NA,NA,NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가이익",NA,NA,NA,NA,NA,NA
"자산처분(폐기)이익",0,1,1,0,0,0
"자산평가이익",NA,NA,NA,NA,NA,NA
"자산손상차손환입",2,1,1,0,0,0
"임대료수익",1,NA,0,NA,NA,NA
"로열티수익",NA,NA,NA,NA,NA,NA
"수수료수익",NA,NA,NA,NA,NA,NA
"대손충당금환입",NA,NA,NA,NA,NA,NA
"충당부채환입액",5,2,13,NA,NA,1
"기타비용",297,135,141,32,11,15
"재고자산감모손실",NA,NA,NA,NA,NA,NA
"재고자산폐기(처분)손실",NA,NA,NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가손실",NA,NA,NA,NA,NA,NA
"자산처분(폐기)손실",0,2,1,0,0,0
"자산평가손실",NA,NA,NA,NA,NA,NA
"자산손상차손",55,13,17,NA,NA,NA
"기타대손상각비",10,55,0,0,-3,0
"충당부채전입액",143,30,32,NA,NA,NA
"종속기업,공동지배기업및관계기업관련손익",6,0,6,2,-1,NA
"지분법손익",NA,NA,NA,NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식처분손익",NA,NA,NA,NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식손상관련손익",NA,NA,NA,NA,NA,NA
"세전계속사업이익",937,781,490,159,343,50
"법인세비용",285,70,175,46,111,9
"계속영업이익",652,711,315,112,232,41
"중단영업이익",NA,NA,NA,NA,NA,-53
"당기순이익",652,711,315,112,232,-12
"지배주주순이익",290,357,194,67,94,7
"비지배주주순이익",362,354,121,46,138,-19
"자산",17812,19130,20344,20589,20832,21218
"유동자산",5696,6298,6598,6926,7202,20134
"재고자산",289,839,786,807,961,418
"유동생물자산",NA,NA,NA,NA,NA,NA
"유동금융자산",157,85,1395,299,368,287
"매출채권및기타유동채권",2743,2759,2698,2958,2535,2266
"당기법인세자산",0,0,4,4,4,4
"계약자산",NA,NA,NA,NA,NA,NA
"반품(환불)자산",NA,NA,NA,NA,NA,NA
"배출권",NA,NA,NA,NA,NA,NA
"기타유동자산",285,480,368,545,397,356
"현금및현금성자산",1355,1268,479,1445,1786,1017
"매각예정비유동자산및처분자산집단",867,867,867,867,1150,15787
"비유동자산",12116,12831,13746,13664,13630,1083
"유형자산",11248,11569,11534,11424,11417,35
"무형자산",49,35,47,46,44,29
"비유동생물자산",NA,NA,NA,NA,NA,NA
"투자부동산",107,100,96,96,95,94
"장기금융자산",278,390,491,523,546,691
"관계기업등지분관련투자자산",318,419,426,429,428,NA
"장기매출채권및기타비유동채권",NA,87,81,64,62,61
"이연법인세자산",116,231,198,232,204,173
"장기당기법인세자산",NA,NA,NA,NA,NA,NA
"기타비유동자산",NA,0,872,851,833,80
"기타금융업자산",NA,NA,NA,NA,NA,NA
"부채",13366,14143,15152,15421,15409,19221
"유동부채",7604,8680,6972,6861,7114,18795
"단기사채",NA,NA,NA,NA,NA,NA
"단기차입금",1852,2771,2220,2220,1820,512
"유동성장기부채",1944,1672,845,639,887,NA
"유동금융부채",1,7,82,82,79,51
"매입채무및기타유동채무",3610,4052,3688,3674,4008,6816
"유동종업원급여충당부채",NA,NA,NA,NA,NA,NA
"기타단기충당부채",7,13,30,27,21,21
"당기법인세부채",144,89,49,72,98,22
"계약부채",NA,NA,NA,NA,NA,NA
"반품(환불)부채",NA,NA,NA,NA,NA,NA
"배출부채",23,NA,NA,NA,NA,NA
"기타유동부채",23,76,59,147,202,358
"매각예정으로분류된처분자산집단에포함된부채",NA,NA,NA,NA,NA,11014
"비유동부채",5762,5462,8179,8560,8295,426
"사채",200,898,5980,5981,5683,NA
"장기차입금",5166,4103,942,1307,1325,71
"비유동금융부채",NA,NA,809,797,789,52
"장기매입채무및기타비유동채무",9,9,9,9,9,0
"비유동종업원급여충당부채",13,22,17,49,72,63
"기타장기충당부채",168,247,263,261,267,232
"이연법인세부채",NA,NA,NA,NA,NA,NA
"장기당기법인세부채",NA,NA,NA,NA,NA,NA
"기타비유동부채",206,183,161,156,150,7
"기타금융업부채",NA,NA,NA,NA,NA,NA
"자본",4446,4987,5192,5169,5422,1997
"지배기업주주지분",2601,2838,2970,2984,3074,-334
"자본금",140,140,140,140,140,140
"신종자본증권",NA,NA,NA,NA,NA,NA
"자본잉여금",112,104,82,82,84,84
"기타자본",-23,-101,-109,-109,-109,-3525
