"","x","X2020.03","X2020.06","X2020.09"
"113",NA,NA,NA,NA
"114",NA,696,700,752
"115",NA,319,319,319
"116",NA,NA,NA,NA
"117",NA,74,74,74
"118",NA,NA,NA,NA
"119",NA,-60,-59,-47
"120",NA,363,365,405
"121",NA,308,-1209,290
"122",NA,25,22,41
"123",NA,NA,NA,NA
"124",NA,38,27,45
"125",NA,NA,NA,NA
"126",NA,NA,NA,NA
"127",NA,NA,NA,NA
"128",NA,9,2,3
"129",NA,NA,NA,NA
"130",NA,NA,NA,NA
"131",NA,NA,NA,NA
"132",NA,NA,NA,NA
"133",NA,NA,NA,NA
"134",NA,NA,NA,NA
"135",NA,NA,NA,NA
"136",NA,NA,NA,NA
"137",NA,NA,NA,NA
"138",NA,NA,NA,NA
"139",NA,NA,NA,NA
"140",NA,NA,NA,NA
"141",NA,NA,NA,NA
"142",NA,0,NA,0
"143",NA,NA,NA,NA
"144",NA,NA,NA,NA
"145",NA,NA,0,5
"146",NA,NA,NA,NA
"147",NA,NA,NA,NA
"148",NA,NA,NA,NA
"149",NA,NA,NA,NA
"150",NA,NA,NA,NA
"151",NA,NA,NA,NA
"152",NA,NA,NA,NA
"153",NA,0,0,4
"154",NA,5,5,5
"155",NA,NA,NA,NA
"156",NA,NA,NA,NA
"157",NA,NA,NA,NA
"158",NA,NA,NA,NA
"159",NA,NA,NA,NA
"160",NA,NA,NA,NA
"161",NA,NA,NA,NA
"162",NA,NA,NA,NA
"163",NA,0,0,0
"164",NA,1,1,1
"165",NA,NA,NA,NA
"166",NA,NA,NA,NA
"167",NA,0,0,0
"168",NA,21,29,24
"169",NA,NA,NA,NA
"170",NA,NA,NA,NA
"171",NA,NA,NA,NA
"172",NA,5,12,7
"173",NA,NA,NA,NA
"174",NA,NA,NA,NA
"175",NA,NA,NA,NA
"176",NA,NA,NA,NA
"177",NA,NA,NA,NA
"178",NA,NA,NA,NA
"179",NA,NA,NA,NA
"180",NA,NA,NA,NA
"181",NA,NA,NA,NA
"182",NA,NA,NA,NA
"183",NA,NA,NA,NA
"184",NA,NA,NA,NA
"185",NA,NA,NA,NA
"186",NA,0,1,-1
"187",NA,NA,NA,NA
"188",NA,NA,NA,NA
"189",NA,-6,NA,NA
"190",NA,NA,NA,NA
"191",NA,NA,NA,NA
"192",NA,NA,NA,NA
"193",NA,NA,NA,NA
"194",NA,NA,NA,NA
"195",NA,NA,NA,NA
"196",NA,NA,NA,NA
"197",NA,NA,NA,NA
"198",NA,NA,NA,NA
"199",NA,NA,NA,NA
"200",NA,NA,NA,NA
"201",NA,NA,NA,NA
"202",NA,NA,NA,NA
"203",NA,NA,NA,NA
"204",NA,NA,NA,NA
"205",NA,NA,NA,NA
"206",NA,NA,NA,NA
"207",NA,1,0,0
"208",NA,258,-1229,234
"209",NA,2324,-10759,7556
"210",NA,-2066,9530,-7322
"211",NA,NA,NA,NA
"212",NA,NA,NA,NA
"213",NA,301,-1210,296
"214",NA,7,0,-6
"215",NA,21,18,15
"216",NA,-13,-9,-10
"217",NA,2,0,0
"218",NA,NA,NA,NA
"219",NA,NA,NA,NA
"220",NA,-3,-8,-11
"221",NA,NA,NA,NA
"222",NA,-4,-5,-21
"223",NA,0,2,4
"224",NA,NA,NA,NA
"225",NA,NA,NA,NA
"226",NA,NA,NA,NA
"227",NA,NA,2,3
"228",NA,NA,NA,NA
"229",NA,NA,NA,NA
"230",NA,NA,NA,NA
"231",NA,NA,NA,NA
"232",NA,NA,NA,NA
"233",NA,NA,NA,NA
"234",NA,0,0,1
"235",NA,NA,NA,NA
"236",NA,NA,NA,NA
"237",NA,NA,NA,NA
"238",NA,NA,NA,NA
"239",NA,NA,NA,NA
"240",NA,NA,NA,NA
"241",NA,NA,NA,NA
"242",NA,NA,NA,NA
"243",NA,NA,NA,NA
"244",NA,NA,NA,NA
"245",NA,NA,NA,NA
"246",NA,NA,NA,NA
"247",NA,NA,NA,NA
"248",NA,NA,NA,NA
"249",NA,NA,NA,NA
"250",NA,NA,NA,NA
"251",NA,NA,NA,NA
"252",NA,NA,NA,NA
"253",NA,NA,NA,NA
"254",NA,NA,NA,NA
"255",NA,4,7,25
"256",NA,NA,NA,NA
"257",NA,NA,NA,NA
"258",NA,NA,NA,NA
"259",NA,NA,NA,NA
"260",NA,NA,NA,NA
"261",NA,NA,NA,NA
"262",NA,NA,NA,NA
"263",NA,NA,NA,NA
"264",NA,NA,NA,NA
"265",NA,NA,NA,NA
"266",NA,3,7,24
"267",NA,NA,NA,NA
"268",NA,NA,NA,NA
"269",NA,2,0,1
"270",NA,NA,NA,NA
"271",NA,NA,NA,NA
"272",NA,NA,NA,NA
"273",NA,NA,NA,NA
"274",NA,NA,NA,NA
"275",NA,NA,NA,NA
"276",NA,-2,NA,NA
"277",NA,NA,NA,NA
"278",NA,NA,NA,NA
"279",NA,NA,NA,NA
"280",NA,NA,NA,NA
"281",NA,NA,NA,NA
"282",NA,NA,NA,NA
"283",NA,NA,NA,NA
"284",NA,NA,NA,NA
"285",NA,NA,NA,NA
"286",NA,-159,1081,-246
"287",NA,-156,1085,-223
"288",NA,NA,NA,NA
"289",NA,NA,NA,NA
"290",NA,NA,NA,NA
"291",NA,NA,NA,NA
"292",NA,-156,1085,-223
"293",NA,NA,NA,NA
"294",NA,NA,NA,NA
"295",NA,NA,NA,NA
"296",NA,NA,NA,NA
"297",NA,NA,NA,NA
"298",NA,NA,NA,NA
"299",NA,NA,NA,NA
"300",NA,NA,NA,NA
"301",NA,NA,NA,NA
"302",NA,NA,NA,NA
"303",NA,NA,NA,NA
"304",NA,NA,NA,NA
"305",NA,NA,NA,NA
"306",NA,NA,NA,NA
"307",NA,NA,NA,NA
"308",NA,NA,NA,NA
"309",NA,NA,NA,NA
"310",NA,NA,NA,NA
"311",NA,NA,NA,NA
"312",NA,NA,NA,NA
"313",NA,NA,NA,NA
"314",NA,NA,NA,NA
"315",NA,NA,NA,NA
"316",NA,NA,NA,NA
"317",NA,NA,NA,NA
"318",NA,NA,NA,NA
"319",NA,3,4,4
"320",NA,NA,NA,NA
"321",NA,NA,NA,NA
"322",NA,NA,NA,NA
"323",NA,NA,NA,NA
"324",NA,NA,NA,NA
"325",NA,NA,NA,NA
"326",NA,NA,NA,NA
"327",NA,NA,NA,NA
"328",NA,NA,NA,NA
"329",NA,NA,NA,NA
"330",NA,NA,NA,NA
"331",NA,NA,NA,NA
"332",NA,NA,NA,NA
"333",NA,NA,NA,NA
"334",NA,NA,NA,NA
"335",NA,NA,NA,NA
"336",NA,NA,NA,NA
"337",NA,NA,NA,NA
"338",NA,3,4,4
"339",NA,NA,NA,NA
"340",NA,NA,NA,NA
"341",NA,NA,NA,NA
"342",NA,NA,NA,NA
"343",NA,NA,NA,NA
"344",NA,NA,NA,NA
"345",NA,NA,NA,NA
"346",NA,NA,NA,NA
"347",NA,NA,NA,NA
"348",NA,NA,NA,-19
"349",NA,NA,NA,NA
"350",NA,NA,NA,NA
"351",NA,1,0,0
"352",NA,145,-134,24
"353",NA,240,385,252
"354",NA,385,252,275
